model,parameter_count,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,seed_count,seeds,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,greedy_exact_match_mean,greedy_exact_match_std,greedy_exact_match_min,greedy_exact_match_max,final_train_loss_mean,final_train_loss_std,final_train_loss_min,final_train_loss_max,final_answer_token_accuracy_mean,final_answer_token_accuracy_std,final_answer_token_accuracy_min,final_answer_token_accuracy_max,compilation_seconds_mean,compilation_seconds_std,compilation_seconds_min,compilation_seconds_max,steady_state_training_seconds_mean,steady_state_training_seconds_std,steady_state_training_seconds_min,steady_state_training_seconds_max,total_training_seconds_mean,total_training_seconds_std,total_training_seconds_min,total_training_seconds_max
dense_5p12m,5123584,400,819200,12288000,3276800,4.096,377751601152000,3,"42,123,2026",0.0011826148023828863,0.00018890540034677554,0.0010556420544162392,0.0013997035566717386,1.0,0.0,1.0,1.0,0.0011018588362882535,0.00018254768433899858,0.000985010527074337,0.0013122155796736479,1.0,0.0,1.0,1.0,10.622639839000234,0.757130515556074,9.764525694999975,11.196530279000399,105.96823472999343,1.3017727685911913,104.74455965899779,107.33609926997815,139.64072549066682,2.4950763774846068,136.8371651940006,141.61734768399947
dense_5p12m,5123584,750,1536000,23040000,6144000,7.68,708284252160000,3,"42,123,2026",0.00029482856722703825,6.357423670101095e-05,0.0002443878707708791,0.0003662385861389339,1.0,0.0,1.0,1.0,0.000272819854823562,5.813549076485866e-05,0.0002284125512233004,0.00033862085547298193,1.0,0.0,1.0,1.0,10.210537572666604,0.5470920291761469,9.586732574000052,10.60881241199968,195.98530805832402,1.5911161653522383,194.20261660299457,197.26156810498287,234.3869110150002,3.1349279880443457,230.89485959400008,236.95874308600014
dense_10m,10000000,50,102400,1536000,409600,0.512,92160000000000,3,"42,123,2026",1.7444793621699015,0.029789257236928372,1.7168767213821412,1.7760562419891357,0.0013166666666666667,0.0004193248541803041,0.00105,0.0018,1.6104531685511272,0.05465419572297453,1.5479741096496582,1.6493970155715942,0.387451171875,0.0135498046875,0.3753662109375,0.402099609375,12.845909623666557,0.5700287900683543,12.200369583999418,13.279996148999999,26.068155096002858,0.74415367866788,25.268124352003724,26.739699110998117,64.54229761400045,0.44080536389199587,64.03471893800088,64.82898504600053
dense_10m,10000000,75,153600,2304000,614400,0.768,138240000000000,3,"42,123,2026",1.6389014323552449,0.040815017765271626,1.6144450187683106,1.6860191583633424,0.0033333333333333335,0.0018536001007049318,0.00125,0.0048,1.4627352952957153,0.03927196845239836,1.4376252889633179,1.5079920291900635,0.4375813802083333,0.024976532571054966,0.4088134765625,0.4537353515625,12.981952169666632,0.7084046302451029,12.431832008000129,13.781286010999793,38.10910533066453,1.2812966418303304,37.307429506992776,39.586840633002794,76.85527456566645,1.4733420553130292,75.27082607400007,78.18404242100041
dense_10m,10000000,100,204800,3072000,819200,1.024,184320000000000,3,"42,123,2026",0.4075227439403534,0.2752880552568596,0.18714621663093567,0.7161024212837219,0.5417333333333333,0.3819608400521359,0.1029,0.7994,0.38573971887429553,0.26845147780105827,0.1806841343641281,0.6895890235900879,0.8901774088541666,0.09522660663685188,0.7802734375,0.9481201171875,12.813716371666183,0.5615054598689412,12.40925880299983,13.454806110999925,51.57776569767187,1.7874218114598495,50.540281458004756,53.64169278100144,90.41157409700038,2.109687212675346,88.78482344300028,92.79531303399926
dense_10m,10000000,125,256000,3840000,1024000,1.28,230400000000000,3,"42,123,2026",0.181215022255977,0.1358572780980257,0.05808212235569954,0.3269593596458435,0.7945833333333333,0.23239067501372196,0.53865,0.9924,0.17719079305728277,0.13733936279792097,0.057776324450969696,0.3272708058357239,0.95068359375,0.05760904028236318,0.8865966796875,0.9981689453125,12.590216437333765,0.5820680287519439,12.207041825000488,13.260015101001045,65.13754947366185,1.8688151197724134,62.99406076398736,66.42507627800205,103.75918158600052,0.7347479615152543,102.9108490890012,104.19352368100044
dense_10m,10000000,175,358400,5376000,1433600,1.792,322560000000000,3,"42,123,2026",0.005670517683029175,0.002583729093632824,0.004132686741650104,0.008653470873832702,0.9999666666666668,5.7735026918956215e-05,0.9999,1.0,0.005316787088910739,0.0023658151709841147,0.003933974541723728,0.0080485250800848,1.0,0.0,1.0,1.0,13.029131355333144,0.7064605851233883,12.309697640000195,13.72186158399927,89.56743487332672,2.693691234656945,87.07780994499444,92.4269603939947,130.008389099666,2.6296608606945027,126.98114543799966,131.72685990399987
dense_10m,10000000,250,512000,7680000,2048000,2.56,460800000000000,3,"42,123,2026",0.0016799513483420016,5.784425547047938e-05,0.0016151698771864175,0.0017264303285628557,1.0,0.0,1.0,1.0,0.0015582472163562973,5.0780331369932475e-05,0.0015000452985987067,0.0015935162082314491,1.0,0.0,1.0,1.0,12.447498382000049,0.6535427870767653,11.99007367500053,13.196008920000168,126.65043899799821,2.09792358563443,124.62213287300983,128.8116596559994,167.15280058533367,1.585982881231021,165.51766217800105,168.68457108499933
dense_10m,10000000,400,819200,12288000,3276800,4.096,737280000000000,3,"42,123,2026",0.0007615233034205934,0.0001154605040867148,0.000638492638245225,0.0008675214368849993,1.0,0.0,1.0,1.0,0.0007139179894390205,0.00010651992064027662,0.0005977613036520779,0.0008070279145613313,1.0,0.0,1.0,1.0,13.039987604666749,0.5330840481693394,12.598566554999707,13.632234393000545,205.20446409299743,2.3744624490982207,203.76338102999762,207.94503820500904,248.84354505466612,2.0062172436372494,247.1530736779996,251.0605086759988
dense_10m,10000000,750,1536000,23040000,6144000,7.68,1382400000000000,3,"42,123,2026",0.00016624649191120016,8.95207345710139e-06,0.000161058476078324,0.00017658343131188303,1.0,0.0,1.0,1.0,0.00015389003480474153,9.269397384093526e-06,0.0001474676828365773,0.00016451651754323393,1.0,0.0,1.0,1.0,12.963953849333242,0.5481951016614651,12.589153204999093,13.593124730999989,378.60435925469363,4.067827397240188,374.0076604650285,381.73936264704025,427.2496948256664,3.7857542818152465,422.8784814519995,429.47143617300026
