run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_0p64m_s0250_seed2026,dense_0p64m,643840,2026,250,512000,7680000,2048000,2.56,29668147200000,0.07403004616498947,0.9966,0.0654909610748291,0.9991455078125,7.896401106000212,11.699395959999038,31.9898272370001,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0400_seed42,dense_0p64m,643840,42,400,819200,12288000,3276800,4.096,47469035520000,0.01405809260904789,0.99995,0.0130234993994236,1.0,6.425700445000075,19.42070254300461,40.98954962400012,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0400_seed123,dense_0p64m,643840,123,400,819200,12288000,3276800,4.096,47469035520000,0.016063973680138587,0.9994,0.014209608547389507,1.0,7.767957289000151,19.423121418009487,41.8917306190001,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0400_seed2026,dense_0p64m,643840,2026,400,819200,12288000,3276800,4.096,47469035520000,0.010505788028240204,0.99995,0.009631059132516384,1.0,6.340115086999958,18.79796379799518,40.50995312699979,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0750_seed42,dense_0p64m,643840,42,750,1536000,23040000,6144000,7.68,89004441600000,0.0007763576693832874,1.0,0.0007240675622597337,1.0,7.530382415000076,35.838083753997125,62.92036334900013,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0750_seed123,dense_0p64m,643840,123,750,1536000,23040000,6144000,7.68,89004441600000,0.00067850990453735,1.0,0.0006296618958003819,1.0,6.318498563000048,35.935540490004314,62.48433990100011,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0750_seed2026,dense_0p64m,643840,2026,750,1536000,23040000,6144000,7.68,89004441600000,0.0008233173517510295,1.0,0.0007583549013361335,1.0,7.8433363660001305,35.91632266700117,63.43769536899981,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0050_seed42,dense_2p16m,2164608,42,50,102400,1536000,409600,0.512,19949027328000,1.7145432949066162,0.00115,1.5395458936691284,0.428955078125,8.982449285999792,6.877795614001116,29.882523341999786,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0050_seed123,dense_2p16m,2164608,123,50,102400,1536000,409600,0.512,19949027328000,1.7061444759368896,0.00145,1.5402745008468628,0.4168701171875,8.758001060999959,6.7134845479968135,29.507448624000062,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0050_seed2026,dense_2p16m,2164608,2026,50,102400,1536000,409600,0.512,19949027328000,1.730452060699463,0.0011,1.5812623500823975,0.400634765625,7.400980136999806,7.072381403000691,28.114537745000234,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0075_seed42,dense_2p16m,2164608,42,75,153600,2304000,614400,0.768,29923540992000,1.5457526206970216,0.01025,1.3732340335845947,0.4927978515625,7.535881325999981,11.057556934997137,33.246224231999804,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_2p16m_s0075_seed123,dense_2p16m,2164608,123,75,153600,2304000,614400,0.768,29923540992000,1.2917552947998048,0.0231,1.1866388320922852,0.52783203125,7.585691365999992,10.198639181997805,31.873681645000033,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
